method_name,seed,policy_id,candidate_label,episode_id,env_idx,env_seed,step_count,security_return,business_return,cost_return,critical_host_safety_return,business_violation_flag,cost_violation_flag,env_run_feasible_flag,enterprise_foothold_step,first_critical_hit_step,ever_critical_breach,final_critical_breach,critical_dwell_steps,op_server0_impact_count,max_compromised_host_count,blue_first_relevant_response_step,response_delay_after_enterprise,response_delay_after_critical,shield_active_step_count,shield_active_step_rate,shield_fallback_step_count,shield_fallback_step_rate,mean_shield_blocked_probability_mass,no_post_critical_response,risk_tier
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_000,0,19,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699983471632004,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_000,1,1019,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699995517730713,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_000,2,2019,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699995517730713,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_000,3,3019,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699983471632004,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_000,4,4019,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699995517730713,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_000,5,5019,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699983471632004,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_000,6,6019,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699995517730713,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_000,7,7019,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699995517730713,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_001,0,20,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699983471632004,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_001,1,1020,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699995517730713,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_001,2,2020,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699995517730713,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_001,3,3020,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699983471632004,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_001,4,4020,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699983471632004,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_001,5,5020,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699983471632004,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_001,6,6020,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699983471632004,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_001,7,7020,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699995517730713,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_002,0,21,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699995517730713,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_002,1,1021,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699983471632004,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_002,2,2021,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699995517730713,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_002,3,3021,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699995517730713,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_002,4,4021,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699983471632004,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_002,5,5021,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699995517730713,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_002,6,6021,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699983471632004,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_002,7,7021,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699983471632004,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_003,0,22,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699995517730713,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_003,1,1022,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699995517730713,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_003,2,2022,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699983471632004,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_003,3,3022,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699995517730713,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_003,4,4022,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699983471632004,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_003,5,5022,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699995517730713,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_003,6,6022,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699995517730713,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_003,7,7022,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699983471632004,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_004,0,23,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699995517730713,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_004,1,1023,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699995517730713,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_004,2,2023,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699983471632004,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_004,3,3023,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699995517730713,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_004,4,4023,100,-170.59999424219131,-27.79249945282936,-20.09000025689602,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699983471632004,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_004,5,5023,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699995517730713,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_004,6,6023,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699983471632004,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_004,7,7023,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699983471632004,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_005,0,24,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699995517730713,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_005,1,1024,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699995517730713,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_005,2,2024,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699995517730713,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_005,3,3024,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699983471632004,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_005,4,4024,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699995517730713,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_005,5,5024,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699995517730713,False,Tier 1 Near-Miss
ours_stage2_fair_critical_safe_v2_4_4obj,19,stage2_ext_005_obj_2,audit_selected,episode_005,6,6024,100,-170.59999424219131,-27.77499943971634,-19.860000256448984,0.0,False,False,True,5,,False,False,0,0,3,6,1,,47,0.47,0,0.0,0.4699983471632004,False,Tier 1 Near-Miss
